101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.117000		-0.660000		-0.189645
0.118000		-0.660000		-0.188938
0.119000		-0.660000		-0.188253
0.120000		-0.660000		-0.187589
0.121000		-0.660000		-0.186947
0.122000		-0.660000		-0.186326
0.123000		-0.660000		-0.185725
0.124000		-0.660000		-0.185146
0.125000		-0.660000		-0.184587
0.126000		-0.660000		-0.184048
0.127000		-0.660000		-0.183529
0.128000		-0.660000		-0.183030
0.129000		-0.660000		-0.182551
0.130000		-0.660000		-0.182090
0.131000		-0.660000		-0.181649
0.132000		-0.660000		-0.181227
0.133000		-0.660000		-0.180822
0.134000		-0.660000		-0.180436
0.135000		-0.660000		-0.180068
0.136000		-0.660000		-0.179717
0.137000		-0.660000		-0.179384
0.138000		-0.660000		-0.179067
0.139000		-0.660000		-0.178766
0.140000		-0.660000		-0.178482
0.141000		-0.660000		-0.178214
0.142000		-0.660000		-0.177962
0.143000		-0.660000		-0.177724
0.144000		-0.660000		-0.177502
0.145000		-0.660000		-0.177294
0.146000		-0.660000		-0.177100
0.147000		-0.660000		-0.176921
0.148000		-0.660000		-0.176755
0.149000		-0.660000		-0.176602
0.150000		-0.660000		-0.176462
0.151000		-0.660000		-0.176335
0.152000		-0.660000		-0.176221
0.153000		-0.660000		-0.176118
0.154000		-0.660000		-0.176028
0.155000		-0.660000		-0.175949
0.156000		-0.660000		-0.175881
0.157000		-0.660000		-0.175823
0.158000		-0.660000		-0.175777
0.159000		-0.660000		-0.175741
0.160000		-0.660000		-0.175715
0.161000		-0.660000		-0.175698
0.162000		-0.660000		-0.175691
0.163000		-0.660000		-0.175694
0.164000		-0.660000		-0.175705
0.165000		-0.660000		-0.175725
0.166000		-0.660000		-0.175753
0.167000		-0.660000		-0.175790
0.168000		-0.660000		-0.175834
0.169000		-0.660000		-0.175886
0.170000		-0.660000		-0.175946
0.171000		-0.660000		-0.176013
0.172000		-0.660000		-0.176086
0.173000		-0.660000		-0.176167
0.174000		-0.660000		-0.176254
0.175000		-0.660000		-0.176347
0.176000		-0.660000		-0.176447
0.177000		-0.660000		-0.176552
0.178000		-0.660000		-0.176663
0.179000		-0.660000		-0.176780
0.180000		-0.660000		-0.176901
0.181000		-0.660000		-0.177028
0.182000		-0.660000		-0.177160
0.183000		-0.660000		-0.177296
0.184000		-0.660000		-0.177437
0.185000		-0.660000		-0.177582
0.186000		-0.660000		-0.177732
0.187000		-0.660000		-0.177885
0.188000		-0.660000		-0.178043
0.189000		-0.660000		-0.178204
0.190000		-0.660000		-0.178368
0.191000		-0.660000		-0.178536
0.192000		-0.660000		-0.178707
0.193000		-0.660000		-0.178881
0.194000		-0.660000		-0.179059
0.195000		-0.660000		-0.179238
0.196000		-0.660000		-0.179421
0.197000		-0.660000		-0.179606
0.198000		-0.660000		-0.179794
0.199000		-0.660000		-0.179984
0.200000		-0.660000		-0.180176
0.100000		-0.640000		-0.205370
0.101000		-0.640000		-0.204291
